['RUK178', 'B738/M-SDFGIJ1LRWY/SB1', 'EGAA', 'EGPH', '25000', 'BLACA P600 TUNSO', 1707471010]
['UKV2910', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGAA', 'LIMF', '35000', 'LISBO L603 PEPOD Q38 SOSIM/N0439F270 Q38 GIGTO/N0449F350 L15 HON UL612 OGULO DCT OKASI DCT OKEKO DCT MOU DCT MADIV DCT MOKIP DCT TUFTA DCT GVA DCT MOBLO DCT LURAG M135 VEROB', 1707511177]
['EZY81AK', 'A320/M-SDE2E3FGHIJ1RWXY/LB1', 'EGAA', 'EGKK', '37000', 'LISBO DCT RINGA DCT BABGU DCT ETIGA DCT INKOB Q39 NOMSU UQ4 WAL L151 DISIT', 1707515049]
['RYR988', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGAA', 'LPPT', '36000', 'BEL DCT LISBO DCT DUB DCT SUTEX DCT GOTEM DCT ORTOM DCT MAPAG/M079F360 DCT LASNO T9 BEGAS/N0460F350 DCT STG/N0416F230 UP600 ASDEB DCT TURON DCT PINEK DCT PRT DCT XAMAX', 1707514931]
['RYR441', 'B738/M-VGDW/C', 'EGAA', 'LPPT', '34000', 'BEL DCT LISBO DCT DUB DCT SUTEX DCT GOTEM DCT ORTOM DCT MAPAG/M076F340 DCT LASNO T9 BEGAS/N0443F340 DCT STG UP600 ASDEB DCT TURON DCT PINEK DCT PRT DCT XAMAX', 1707515827]
['RYR193', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGAA', 'EGCC', '25000', 'LISBO L603 PEPOD Q38 MAKUX', 1707515468]
['RYR178', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGAA', 'EGPH', '19000', 'BLACA P600 TUNSO', 1707516277]
['EZY24GK', 'A320/M-SDE3FGHIRWY/LB1', 'EGGW', 'EGAA', '34000', 'OLNEY T420 TNT UL28 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT UVPOK/N0369F240 M147 ROBOP M146 IPSET P6 BELZU', 1707466712]
['EZY786D', 'A20N/M-VGDW/C', 'EGSS', 'EGAA', '36000', 'UTAV1R UTAVA Q75 BUZAD T420 TNT UL28 RODOL UM65 TENSO L603 BELOX REMSI UVPOK M147 ROBOP M146 IPSET P6 BELZU', 1707482973]
['EZY406C', 'A320/M-SDE2E3FGHIRWXY/LB1', 'EGNM', 'EGAA', '24000', 'NELSA DCT CROFT Y70 KOLID L70 GUNTU Z196 DIGMA M146 IPSET P6 BELZU', 1707485463]
['EZY817K', 'A320/M-SDE2E3FGHIRWXY/LB1', 'EGKK', 'EGAA', '38000', 'LAM L10 BPK UN601 LESTA UP6 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT UVPOK M147 ROBOP M146 IPSET P6 BELZU', 1707487985]
['RYR57J', 'B738/M-VGDW/C', 'EGPH', 'EGAA', '20000', 'GOSAM P600 BLACA DCT BELZU', 1707493175]
['ABR2293', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGHQ', 'EGAA', '32000', 'NICXI DCT VATRY DCT DUB DCT NEVRI N34 BELZU', 1707497856]
['RYR64AM', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGHQ', 'EGAA', '32000', 'NICXI VATRY DCT DUB DCT NEVRI N34 BELZU', 1707497973]
['EIN22DG', 'A320/M-VGDW/C', 'EGPH', 'EGAA', '18000', 'GOSAM P600 BLACA DCT BELZU', 1707498184]
['EZY614A', 'A320/M-SDE2E3FGHIJ1RWXY/LB1', 'EGPH', 'EGAA', '24000', 'GOSAM P600 BLACA DCT BELZU', 1707498874]
['EZY807G', 'A320/M-SDE3FGHIRWY/LB1', 'EGPH', 'EGAA', '18000', 'GOSAM P600 BLACA DCT BELZU', 1707504095]
['EZY817K', 'A320/M-SDE2E3FGHIJ1RWXY/LB1', 'EGKK', 'EGAA', '38000', 'LAM L10 BPK UN601 LESTA UP6 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT UVPOK M147 ROBOP M146 IPSET P6 BELZU', 1707511323]
['RYR79TK', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'EGAA', '24000', 'EKLAD Y53 WAL M146 IPSET P6 BELZU', 1707513275]
['EZY1694', 'A320/M-SDE3FGHIRWY/LB1', 'EGNM', 'EGAA', '24000', 'POL Y70 KOLID L70 GUNTU Z196 DIGMA M146 IPSET P6 BELZU', 1707519152]
['EZY780B', 'A320/M-SDE3FGHIRWY/LB1', 'EGKK', 'EGAA', '32000', 'LAM L10 BPK UN601 LESTA UP6 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT MASOP DCT NELBO P6 BELZU', 1707522485]
['EZY732C', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGGD', 'EGAA', '24000', 'BCN P4 FELCA L9 NICXI M17 DUB N34 BELZU', 1707521374]
['BEE5NT', 'DH8D/M-SDE2E3FGRY/H', 'EGAC', 'EGBB', '23000', 'DUFFY L15 MALUD', 1707472054]
['EZY81ZA', 'A319/M-SDE3FGHIRWY/LB1', 'EGAC', 'EGGP', '23000', 'DUFFY L15 PEPOD Q38 SOSIM L28 PENIL', 1707494978]
['SHT5X', 'A320/M-SDFGHIJ1RWXY/S', 'EGAC', 'EGLL', '35000', 'DCT DUFFY L10 RINGA Q39 ETIGA DCT INKOB Q39 NOMSU UQ4 WAL UY53 NUGRA NUGRA1H', 1707497105]
['CSA140', 'A320/M-SDE2E3FGHIJ1RWXYZ/LB1', 'EGAC', 'EIDL', '16000', 'EGT', 1707496897]
['BEE1041', 'B463', 'EGAC', 'EGNX', '25000', 'DCT DUFFY L15 PEPOD Q38 MAKUX MAKU1E ', 1707499898]
['EZY512C', 'A320', 'EGAC', 'EGPF', '15000', 'MAGEE DCT BLACA', 1707504339]
['EZY68GZ', 'A319/M-SDE3FGHIRWY/LB1', 'EGAC', 'EGGW', '35000', 'DUFFY L15 PEPOD Q38 GIGTO Q4 LISTO', 1707512797]
['SHT4E', 'A320/M-SDE3FGHIJ1RWXY/S', 'EGLL', 'EGAC', '34000', 'UMLAT1G UMLAT T418 WELIN T420 TNT UL28 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT NINEB/N0423F240 M148 MAGEE DCT', 1707436862]
['RYR9610', 'B737/M-SDE2E3FGHIRWXY/LB1', 'LFOB', 'EGAC', '38000', 'OPALE UT421 KUNAV T421 BIG T420 TNT UL28 RODOL UP6 TUPEM DCT GOTNA', 1707455852]
['EASY', 'A320', 'EGPF', 'EGAC', '18000', 'NORBO1J NORBO L186 TRN P600 BLACA DCT MAGEE DCT', 1707489066]
['EZY389C', 'A319/M-SDE3FGHIRWY/LB1', 'EGPF', 'EGAC', '16000', 'NORBO L186 TRN P600 BLACA DCT MAGEE', 1707492783]
['EZY513C', 'A319/M-SDE3FGHIRWY/LB1', 'EGGW', 'EGAC', '36000', 'OLNEY T420 TNT UL28 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT NINEB M148 MAGEE', 1707498154]
['EZY512C', 'A320', 'EGGW', 'EGAC', '36000', 'OLNEY T420 TNT UL28 RODOL UM65 TENSO L603 BELOX DCT REMSI DCT NINEB M148 MAGEE', 1707502174]
['EZY403V', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGCC', 'EGAC', '24000', 'EKLAD Y53 WAL M146 ERDUV Z198 MASOP M148 MAGEE', 1707514088]
['KLM285', 'B738/M-VGDW/C', 'EGBB', 'EHEH', '33000', 'DTY L608 ADMIS M183 REDFA', 1707455463]
['KLM185', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'EHEH', '27000', 'UNGAP P155 SIVDA P137 REDFA', 1707472144]
['GMA4JC', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'KSDL', '32000', 'LUVUM DCT NANTI Y53 WAL L10 PENIL M144 BAGSO DCT MOLAK DCT NIBOG DCT SUNOT/M076F320 DCT 5820N DCT 6030N DCT 6140N DCT 6150N DCT 6060N DCT PEPKI/N0427F360 DCT 5870N DCT 5580N/N0449F380 DCT ELVEL DCT INL DCT DKOTA Q88 KEEFF/N0450F400 Q88 CHUWY DCT SNY J114 DVV DCT HBU J10 RSK J44 INW', 1707473525]
['RYR3709', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'LFLS', '37000', 'ADMEX Y321 EMKUK UL612 OGULO DCT OKASI DCT OKEKO DCT OKEPI DCT MOU A3 OMANI DCT ROA', 1707473646]
['TOM4GB', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'LEMG', '34000', 'ADMEX Y321 PEPIS Q41 SAM N63 LELNA DCT NOVAN DCT DELOG DCT CRISA UN864 VULPE', 1707474487]
['OSP575', 'B789', 'EGBB', 'GVAC', '37000', 'ADMEX Y321 PEPIS/N0485F400 Q41 SAM/N0481F390 M195 LORKU DCT EBOMO DCT KORUL DCT AGADO DCT ASMOV DCT ORSOS/N0484F410 DCT BEXAL DCT SAMAR/N0472F400 DCT LIMAL UN873 IPERA DCT PISPU PISP1S', 1707476736]
['LOG901', 'AT76/M-VGD/C', 'EGBB', 'EGHQ', '19000', 'CPT Y321 PEPIS/N0270F180 Q41 SAM DCT GIBSO DCT DAWLY', 1707487837]
['LOG708', 'B752/M-DOV/C', 'EGBB', 'EDDF', 'FL310', 'COWL2Y COWLY Q70 BIG L9 KONAN L607 ARCKY T181 TOBOP T180 UNOKO UNOK4G', 1707486698]
['XLA223', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'EGJJ', '29000', 'CPT Y321 PEPIS/N0442F280 Q41 SAM N63 LELNA', 1707490057]
['EXS7M', 'B738/M-VGDW/C', 'EGBB', 'LGAV', '33000', 'DTY P166 BANTO P155 SIVDA P137 REDFA L620 TACHA DCT DIXAT DCT TIVUN DCT ESAMA DCT OSBIT DCT TENLO DCT LAMSI DCT SITNI DCT SASAL DCT SOGMO DCT BABIT/N0460F350 DCT RISTU DCT NEVAK DCT GINAM DCT IBISI DCT KRATO DCT MAKED UL617 SKP UM749 ROPOX', 1707491107]
['THY9ER', 'A21N/M-VGDW/C', 'EGBB', 'LTFM', '35000', 'COWLY2Y COWLY Q70 BIG UL9 KONAN UL607 KOK DCT MATUG DCT GUBAX DCT BOREP DCT ENITA DCT PEPIK DCT ERGOM DCT TEGRI DCT TIMUR/K0832F350 L606 GASRU T390 RILEX/N0450F350 RILEX2B', 1707492935]
['BAW257', 'B744/H-VGDW/C', 'EGBB', 'EHAM', '33000', 'DTY P166 BANTO P155 SIVDA P137 REDFA', 1707495395]
['EZY1123', 'A320', 'EGBB', 'EGPH', '23000', 'EGBB/15  LUVU1Y LUVUM DCT TNT N57  UN601 INPIP INPI1E EGPH/06', 1707497054]
['DLH955', 'A320/M-VGDW/C', 'EGBB', 'EDDF', '35000', 'ADMEX Y321 EMKUK UL612 COWLY Q70 BIG UL9 KONAN/N0365F190 L607 ARCKY T181 TOBOP T180 UNOKO', 1707498520]
['SWR3WD', 'E190/M-SDE3GILORVW/S', 'EGBB', 'LSZH', '39000', 'COWLY Q70 BIG UL9 KONAN UL607 KOK M150 DIK N852 SUTAL UN852 GTQ UT27 BLM', 1707501458]
['EJU63KY', 'A320/M-SDE3FGHIRWY/LB1', 'EGBB', 'EHAM', '26000', 'UNGAP P155 SIVDA P137 REDFA', 1707502096]
['GLATO', 'C700/M-SBDGHM1RWXY/LB2', 'EGBB', 'EGKB', '19000', 'DTY M605 SILVA', 1707503827]
['RYR8JM', 'B738/M-VGDW/C', 'EGBB', 'EICK', '36000', 'CPT2Y CPT Q63 SAWPE  OZZIL ARPAK FELCA OFSOX BANBA VAPAL VAPAL1R', 1707506195]
['KLM185', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'EHEH', '21000', 'DTY L608 ADMIS M183 REDFA', 1707506650]
['KLM285', 'B738/M-VGDW/C', 'EGBB', 'EHEH', '33000', 'DTY L608 ADMIS M183 REDFA', 1707505687]
['KLM812', 'B738', 'EGBB', 'EHEH', '25000', 'DTY L608 ADMIS M183 SONOG M183 REDFA ', 1707505899]
['KLM712', 'B738/M-VGDW/C', 'EGBB', 'EHEH', '31000', 'DTY L608 ADMIS M183 REDFA', 1707506468]
['TRA16R', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGBB', 'EHEH', '29000', 'DTY L608 ADMIS M183 REDFA', 1707506018]
['KLM365', 'B738/M-VGDW/C', 'EGBB', 'EHEH', '29000', 'DTY L608 ADMIS M183 REDFA', 1707506256]
['KLM279', 'B738', 'EGBB', 'EHEH', '29000', 'DTY L608 ADMIS M183 REDFA', 1707506924]
['IMX358', 'AT72/M-SDFGIRY/S', 'EGBB', 'EIDW', '18000', 'LUVUM DCT NANTI Y53 WAL L10 PENIL L28 LELDO M145 BAGSO BAGSO3L', 1707510195]
['EIN4W', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGBB', 'EINN', '36000', 'LUXTO15 LUXTO N92 BUCGO L9 TIGWE DCT FELCA DCT OFSOX DCT SLANY DCT TIPUR TIPUR2E', 1707518109]
['EXS1DJ', 'B738/M-SDE2E3FGHIRWXY/LB1', 'LFLS', 'EGBB', '38000', 'DANBO UT133 BUSIL DCT AMORO DCT MOMIL DCT BAGBI DCT SIZZA UM733 CHABY UH10 AMODO UM729 RESMI UN491 PIGOP UN160 CAN DCT BENIX DCT AGANO DCT MARUK DCT BIA DCT KENET DCT DISIT DCT GROVE', 1707471993]
['DLH22KD', 'A320/M-SDE3FGHIRWY/LB1', 'EDDM', 'EGBB', '38000', 'INPUD2N INPUD Y102 ALIBU L604 MAPOX DCT SPY DCT RAVLO Y70 VEGUS', 1707478803]
['BEE5NT', 'DH8D/M-SDE2E3FGRY/H', 'EGAC', 'EGBB', '23000', 'DUFFY L15 MALUD', 1707474813]
['LOG708', 'DH8D/M-DOV/C', 'EGJJ', 'EGBB', 'FL190', 'BENI5A BENIX G27 AKIKI N867 AVANT M184 HEMEL HEME1B', 1707482583]
['EJA2064', 'CL60/M-MSBDE1E2E3FGHIJ1J4J5J7M3RWXYLB1V1D1/DAT1FANSER2PDC', 'LOWW', 'EGBB', '40000', 'MEDIX DCT RENKA/N0448F400 DCT INBED DCT BOMBI DCT ADKUV DCT DENUT L610 HEMEL', 1707484866]
['VISON77', 'SF50', 'EGPH', 'EGBB', '21000', 'TLA6D TLA UN864 DCS UL612 CROFT CROFT1B', 1707491165]
['TOM9MD', 'B738/M-SDE2E3FGHIJ1RWXY/LB1', 'LPMA', 'EGBB', '38000', 'DEGUN DCT NARTA DCT TERVA DCT PINEK DCT LOTEE DCT INCEF DCT DEGEX DCT FIFUC DCT ARTIV DCT DIKRO UM184 HEMEL', 1707502892]
['WZZ5SM', 'A320', 'EPWR', 'EGBB', '38000', 'ULGIL Z348 RENDO DCT LARET DCT ODVIL DCT GALSO Q63 ERING L179 LAM L610 HEMEL', 1707512163]
['EIN27T', 'A320/M-SDE3FGHIRWY/LB1', 'EIDW', 'EGBB', '23000', 'LIFFY3J LIFFY L975 MALUD', 1707511626]
['RYR7RN', 'B738/M-VGDW/C', 'EICK', 'EGBB', '33000', 'TISMO1S TISMO LIFFY UL975 MALUD MALUD1B', 1707515672]
['GDANC', 'C172/L-DOV/C', 'EGBF', 'EGCJ', '2700', 'DCT VIA DESBOROUGH    BOTTESFORD     SCUNTHORPE    SELBY    VFR    RCOAS', 1707496087]
['GDANC', 'C172/L-DOV/C', 'EGSH', 'EGBF', '2700', 'DCT VIA VRP LENWADE LAKES    LITTLEPORT    SUTTON    ST NEOTS VFR    RCOAS', 1707495426]
['RYR82', 'B738', 'EGCC', 'EGSS', '15000', 'LISTO2S LISTO/N0292F150 L612 HON L15 FINMA FINMA1L ', 1707439353]
['JST320', 'A320', 'EGCC', 'EGSS', '21000', 'LIST2S LISTO L612 HON L15 FINMA FINM1L', 1707441995]
['VIR77', 'B789/H-SDE1E2E3FGHIJ2J3J4J5M1RWXY/LB1D1', 'EGCC', 'TBPB', '36000', 'ASMIM L975 WAL L10 PENIL M144 BAGSO DCT LIMRI/M085F360 DCT 50N020W 45N030W 40N035W/M085F380 30N040W 25N045W 20N050W DCT JTHON/N0488F400 DCT 17N055W DCT URSIK DCT BGI', 1707465724]
['EZY56RF', 'A320/M-SDE3FGHIRWY/LB1', 'EGCC', 'EHAM', '33000', 'SONEX DCT DESIG L603 LAMSO', 1707468544]
['RYR40SX', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'LPPR', '35000', 'ASMIM1S ASMIM P16 NOKIN P17 BEPHE DCT OSSEP DCT ELNIF DCT ZESPE DCT DAWLY DCT BHD DCT SALCO DCT IBISU DCT LOTEE DCT ELTEP UT328 ASPOR ASPOR3T', 1707466207]
['MON183', 'A306/H-SDE3FGHIRWY/LB1', 'EGCC', 'LGKR', '23000', 'LISTO L612 HON/N0460F350 L15 MOTOX UL15 BEGAR DCT TRA DCT GAMSA DCT GEDSO DCT VEKEN DCT NEMEK DCT NAVSU DCT TAZ DCT RODON DCT LIMJA DCT PITAS', 1707472954]
['AZG976', 'B48F/H-SDE3FGHIM1M2RWXY/LB1', 'EGCC', 'LSZH', '35000', 'LISTO UL612 HON L10 BPK/N0487F230 L10 RINTI UL10 OLMOL/N0485F350 UL10 LESDO UL15 BEGAR DCT BLM', 1707473407]
['TOM18D', 'B738/M-SDE2E3FGHIJ1RWXY/LB1', 'EGCC', 'LPMA', '39000', 'KUXEM DCT SALCO DCT COQUE DCT KORUL DCT AGADO DCT TUNAV DCT VERAM DCT TELMU DCT LIDRO', 1707474993]
['RYR69PV', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'EIKY', '36000', 'ASMIM L975 WAL L10 PENIL M144 BAGSO DCT KER', 1707474694]
['EXS237', 'B738/M-VGDW/C', 'EGCC', 'EHAM', '32000', 'DESIG L603 LAMSO', 1707474848]
['EXS0902', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'ENBR', '35000', 'POL UP17 TIPTA UM82 ROBEM DCT RIGVU DCT MODNI', 1707475175]
['EXS1LY', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'LFLS', '35000', 'SANBA N859 HON UL612 RESMI DCT ROA', 1707475568]
['EZY67GU', 'A20N/M-VGDW/C', 'EGCC', 'GCRR', '37000', 'KUXEM P17 BEPHE DCT OSSEP DCT OXCUD DCT ELNIF DCT ZESPE DCT KLAKI DCT SALCO DCT EBOMO DCT COQUE DCT BALDA DCT ABUPI DCT ABRAT DCT OSLAD UR724 IBALU UN857 TERTO', 1707477514]
['CESSNA1', 'C152/L-VGDW/C', 'EGCC', 'EGNM', '1500', 'AFTER DEPATURE  SALE WATER PARK WEST OF MANCHESTER  WHEN REACHING SLPARK RIGHT TOWARDS POLE HILL VIA M25 WHEN REACHING POLE HILL SALTS MILLS AFTER SALT MILLS FOLLOWING THE M1 BRADFORD TO LEEDS WHEN REACHING VISUAL POINT FOR RUNWAT TURN RIGHT ONTO APPROACH RUNWAY 32 LEEDS ', 1707476314]
['VCP12C', 'B737/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'EGFF', '22000', 'ASMIM P16 NOKIN N862 WEVBE', 1707477875]
['BAW458', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGCC', 'EGKK', '19000', 'LISTO L612 HON N859 KIDLI', 1707478566]
['SIA52', 'A346/H-SDE2E3FGHIJ3J4J5M1RWXY/LB1D1', 'EGCC', 'KIAH', '34000', 'EGCC/05L N0473F340 ASMI1S ASMIM UL975 WAL M146 LUSOD DCT KUGUR DCT ETARI/M083F350 NATB SAXAN/N0476F360 N420A MIILS/N0476F380 DCT ALB DCT FQM DCT PSB DCT JST DCT HVQ DCT VXV DCT VLKNN DCT AEX ZEEKK2 KIAH/26L', 1707480968]
['CCA111', 'B748/H-V/N', 'EGCC', 'EGPH', '24000', 'POL4S POL N601 INPIP INPIP1E', 1707479796]
['EXS34NR', 'B738/M-VGDW/C', 'EGCC', 'LEBL', '35000', 'LISTO P18 TELBA L151 KIDLI UN859 SOPIL DCT BALAN DCT EVPOK DCT NARAK DCT GAI DCT LOMRA DCT ROCAN DCT PUMAL', 1707480011]
['EZY54BZ', 'A20N/M-SDE2E3FGHIJ1RWXY/LB1', 'EGCC', 'LKPR', '37000', 'DESIG L603 LAMSO DCT EVELI DCT NIGUG DCT TIVUN DCT ESAMA DCT KOMIB L984 SULUS Z650 TONSU Z35 ODOMO DCT LOMKI', 1707480215]
['EXS62A', 'B738/M-VGDW/C', 'EGCC', 'LOWI', '35000', 'EGCC/05L LIST2S LISTO L612 HON L15 BIG UL9 KONAN UL607 MATUG DCT AMASI DCT BOMBI T104 WLD M867 BAVAX Z106 MANAL M736 TULSI DCT MADEB MADE1B LOWI/ELMEM.R08-Y', 1707480130]
['RYR19CV', 'B737', 'EGCC', 'EIDW', '24000', 'ASMIM L975 WAL L10 PENIL L28 LELDO M145 BAGSO', 1707479674]
['RYR7EN', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'EPGD', '37000', 'DESIG L603 LAMSO DCT PETIK DCT ANDIK N873 BEDUM DCT GITER DCT KOSEB DCT BIKRU DCT RUMAR L983 DOMAG T240 OGDAV', 1707482049]
['KLM73E', 'E190/M-VGDW/C', 'EGCC', 'EGNM', '7000', 'POL DCT LBA', 1707481716]
['UKV158', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'EGLL', '19000', 'LISTO L612 HON', 1707483844]
['SHT3P', 'A320', 'EGCC', 'EGLL', '19000', ' LIST2S LISTO L612 HON HON1H EGLL/27L', 1707482975]
['EXS87R', 'A21N/M-SDE1FGHIJ1RWXYZ/LB1', 'EGCC', 'LOWI', '37000', 'LISTO L612 HON L15 BIG UL9 KONAN UL607 KOK M150 PITES DCT EDISA DCT BATUB M738 MADEB', 1707483454]
['EZY3108', 'A320/M-VGDW/C', 'EGCC', 'LEPA', '32000', 'LISTO P18 TELBA L151 KIDLI UN859 SOPIL DCT BALAN DCT EVPOK DCT NARAK DCT GAI DCT LOMRA DCT ROCAN DCT IBRAP UN13 LORES', 1707483694]
['DAL3516', 'A320/M-VGDW/C', 'EGCC', 'KMCO', '36000', 'EKLAD UY53 WAL L10 PENIL M144 BAGSO DCT DOGAL/M081F360 NATE ALLRY/N0462F360 DCT YQX/N0467F380 DCT 4356N06001W/M081F380 DCT SLATN DCT KINER DCT WILYY M203 LEXIM DCT TROUT/N0465F380 DCT SCOBY DCT ADOOR M202 HOBEE AR6 HIBAC ALYNA1', 1707485857]
['TOM528', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'DTNH', '37000', 'SANBA N859 HON UL612 RESMI UN857 DISAK DCT DIRMO DCT ETAMO DCT ADEKA DCT MOKDI DCT MEN DCT AMLIR DCT FJR UM731 PELOS DCT IPROM DCT MALAV DCT RAMEN DCT KOVAS DCT CAR DCT OSMAR UA725 TANIT UM731 TUC/N0392F230 M978 DIDON G727 ATLEL', 1707486635]
['ARP', 'A20N/M-VGDW/C', 'EGCC', 'LFPG', '39000', 'LISTO P18 TELBA L151 MID Y803 SFD UM605 XIDIL/N0347F190 M605 BIBAX', 1707486305]
['EZY72CE', 'A20N/M-VGDW/C', 'EGCC', 'EGPD', '34000', 'POL UN601 TLA DCT GRICE DCT FINDO P600 NAXIL', 1707487148]
['VIR77N', 'A339/H-V/N', 'EGCC', 'TBPB', '34000', 'EGCC/05L N0469F340 DCT EKLAD UY53 WAL L10 PENIL M144 BAGSO DCT CRK/M083F340 DCT GUNSO DCT OMOKO DCT 46N020W 41N030W/M083F360 35N040W 30N045W/M083F380 24N050W DCT GLAAS/N0485F380 DCT BGI DCT TBPB/09', 1707487417]
['EZY82BL', 'A320/M-SDE2E3FGHIJ1RWXY/LB1', 'EGCC', 'EHAM', '25000', 'SONEX UL975 DESIG L603 LAMSO', 1707489067]
['RYR90ZR', 'B738/M-SDE2E3FGHIRWXY/LB1', 'EGCC', 'EPRZ', '37000', 'SONEX L975 DESIG L603 LAMSO DCT POVEL DCT MAG DCT BOLBO DCT LASIS L986 LUXAR', 1707493086]
['EUK9HR', 'A333/H-SADE1E2E3GHIJ1J3J5M1P2RWXY/LB2D1', 'EGCC', 'KJFK', '36000', 'EKLAD UY53 WAL L10 PENIL M144 BAGSO DCT VENER/M081F380 NATD UMESI/N0458F380 DCT DANOL DCT ENE PARCH3', 1707491856]
['RYR6YR', 'B738/M-VGDW/C', 'EGCC', 'EIDW', '22000', 'N0362F220 DCT EKLAD DCT WAL L10 PENIL L28 LELDO M145 BAGSO', 1707489996]
